Poll source,Date,Democratic candidate,%,Republican candidate,%.1,Leading by %,Sample size,Margin of error
NBC News/Wall Street Journal[328],"June 19–23, 2016",Hillary Clinton,46%,Donald Trump,41%,5,1000,± 3.1%
Ipsos/Reuters[329],"June 18–22, 2016",Hillary Clinton,44%,Donald Trump,34%,10,1339,± 2.8%
Rasmussen Reports[330],"June 20–21, 2016",Hillary Clinton,44%,Donald Trump,39%,5,1000,± 3%
Economist/YouGov[331],"June 18–20, 2016",Hillary Clinton,43%,Donald Trump,39%,4,1011,± 4.2%
American Research Group[332],"June 17–20, 2016",Hillary Clinton,50%,Donald Trump,41%,9,987,± 3.2%
Morning Consult[333],"June 15–20, 2016",Hillary Clinton,42%,Donald Trump,40%,2,3891,± 2%
CNN/ORC[334],"June 16–19, 2016",Hillary Clinton,47%,Donald Trump,42%,5,891,± 3.5%
Monmouth University[335],"June 15–19, 2016",Hillary Clinton,47%,Donald Trump,40%,7,803,± 3.5%
NBC News/SurveyMonkey[336],"June 13–19, 2016",Hillary Clinton,48%,Donald Trump,42%,6,16135,± 1.1%
Reuters/Ipsos[337],"June 13–17, 2016",Hillary Clinton,46%,Donald Trump,35%,10.7,1133,± 3.4%
One America News Network/Gravis Marketing[338],"June 16, 2016",Hillary Clinton,51%,Donald Trump,49%,2,2197,± 2.1%
Rasmussen Reports[339],"June 14–15, 2016",Hillary Clinton,44%,Donald Trump,39%,5,1000,± 3%
Ipsos/Reuters[340],"June 11–15, 2016",Hillary Clinton,41%,Donald Trump,32%,9,1323,± 2.8%
CNBC[341],"June 11–13, 2016",Hillary Clinton,40%,Donald Trump,35%,5,801,± 3.5%
CBS News[342],"June 9–13, 2016",Hillary Clinton,43%,Donald Trump,37%,6,1048,± 3.0%
NBC News/SurveyMonkey[343],"June 6–12, 2016",Hillary Clinton,49%,Donald Trump,42%,7,9355,± 1.4%
NBC News/SurveyMonkey[343],"June 6–12, 2016",Bernie Sanders,52%,Donald Trump,39%,13,9355,± 1.4%
Morning Consult[344],"June 8–9, 2016",Hillary Clinton,42%,Donald Trump,37%,5,1362,± 3%
Fox News[345],"June 5–8, 2016",Hillary Clinton,42%,Donald Trump,39%,3,1004,± 3%
Fox News[345],"June 5–8, 2016",Bernie Sanders,49%,Donald Trump,38%,11,1004,± 3%
Ipsos/Reuters[346],"June 4–8, 2016",Hillary Clinton,42%,Donald Trump,34%,8,1716,± 2.7%
Rasmussen Reports[347],"June 6–7, 2016",Hillary Clinton,42%,Donald Trump,38%,4,1000,± 3%
Morning Consult[348],"June 3–5, 2016",Hillary Clinton,44%,Donald Trump,40%,4,4002,± 2%
Morning Consult[348],"June 3–5, 2016",Bernie Sanders,51%,Donald Trump,38%,13,4002,± 2%
YouGov/Economist[349],"June 2–5, 2016",Hillary Clinton,44%,Donald Trump,41%,3,1636,± 3.2%
YouGov/Economist[349],"June 2–5, 2016",Bernie Sanders,48%,Donald Trump,37%,11,1636,± 3.2%
IBD/TIPP[350],"May 31 – June 5, 2016",Hillary Clinton,45%,Donald Trump,40%,5,828,± 3.3%
IBD/TIPP[350],"May 31 – June 5, 2016",Bernie Sanders,49%,Donald Trump,39%,10,828,± 3.3%
NBC News/SurveyMonkey[351],"May 30 – June 5, 2016",Hillary Clinton,48%,Donald Trump,44%,4,9240,± 1.4%
NBC News/SurveyMonkey[351],"May 30 – June 5, 2016",Bernie Sanders,52%,Donald Trump,40%,12,9240,± 1.4%
Rasmussen Reports[352],"May 31 – June 1, 2016",Hillary Clinton,39%,Donald Trump,38%,1,1000,± 3%
Ipsos/Reuters[353],"May 28 – June 1, 2016",Hillary Clinton,43%,Donald Trump,34%,9,1332,± 2.8%
Morning Consult[354],"May 24–30, 2016",Hillary Clinton,42%,Donald Trump,39%,3,4002,± 2%
Quinnipiac University[355],"May 24–30, 2016",Hillary Clinton,45%,Donald Trump,41%,4,1561,± 2.5%
Quinnipiac University[355],"May 24–30, 2016",Bernie Sanders,48%,Donald Trump,39%,9,1561,± 2.5%
NBC News/SurveyMonkey[356],"May 23–29, 2016",Hillary Clinton,47%,Donald Trump,45%,2,12969,± 1.2%
NBC News/SurveyMonkey[356],"May 23–29, 2016",Bernie Sanders,52%,Donald Trump,40%,12,12969,± 1.2%
Ipsos/Reuters[357],"May 21–25, 2016",Hillary Clinton,41%,Donald Trump,36%,5,1576,± 2.8%
Rasmussen Reports[358],"May 23–24, 2016",Hillary Clinton,40%,Donald Trump,39%,1,1000,± 3.0%
YouGov/Economist[359],"May 20–23, 2016",Hillary Clinton,42%,Donald Trump,41%,1,2000,± 3.1%
YouGov/Economist[359],"May 20–23, 2016",Bernie Sanders,48%,Donald Trump,39%,9,2000,± 3.1%
Morning Consult[360],"May 19–23, 2016",Hillary Clinton,38%,Donald Trump,35%,3,2001,± 2%
NBC News/SurveyMonkey[361],"May 16–22, 2016",Hillary Clinton,47%,Donald Trump,43%,4,14513,± 1%
NBC News/SurveyMonkey[361],"May 16–22, 2016",Bernie Sanders,53%,Donald Trump,41%,12,14513,± 1%
American Research Group[362],"May 17–20, 2016",Hillary Clinton,46%,Donald Trump,46%,Tie,2001,± 2%
ABC News/Washington Post[363],"May 16–19, 2016",Hillary Clinton,44%,Donald Trump,46%,2,829,± 3.5%
Schoen Consulting[364],"May 16–19, 2016",Hillary Clinton,44%,Donald Trump,42%,2,1000,± 3%
NBC News/Wall Street Journal[365],"May 15–19, 2016",Hillary Clinton,46%,Donald Trump,43%,3,1000,± 3.0%
NBC News/Wall Street Journal[365],"May 15–19, 2016",Bernie Sanders,54%,Donald Trump,39%,15,1000,± 3.0%
Rasmussen Reports[366],"May 17–18, 2016",Hillary Clinton,37%,Donald Trump,42%,5,1000,± 3.0%
Ipsos/Reuters[367],"May 14–18, 2016",Hillary Clinton,41%,Donald Trump,36%,5,1677,± 2.7%
Fox News[368],"May 14–17, 2016",Hillary Clinton,42%,Donald Trump,45%,3,1021,± 3%
Fox News[368],"May 14–17, 2016",Bernie Sanders,46%,Donald Trump,42%,4,1021,± 3%
CBS News/New York Times[369],"May 13–17, 2016",Hillary Clinton,47%,Donald Trump,41%,6,1300,± 3%
CBS News/New York Times[369],"May 13–17, 2016",Bernie Sanders,51%,Donald Trump,38%,13,1300,± 3%
McLaughlin[370],"May 11–16, 2016",Hillary Clinton,46%,Donald Trump,42%,4,1000,± 3.1%
Morning Consult[371],"May 11–15, 2016",Hillary Clinton,42%,Donald Trump,40%,2,3971,± 2%
Morning Consult[371],"May 11–15, 2016",Bernie Sanders,50%,Donald Trump,37%,13,3971,± 2%
NBC News/SurveyMonkey[372],"May 9–15, 2016",Hillary Clinton,48%,Donald Trump,45%,3,12507,± 1.2%
NBC News/SurveyMonkey[372],"May 9–15, 2016",Bernie Sanders,53%,Donald Trump,41%,12,12507,± 1.2%
Ipsos/Reuters[373],"May 7–11, 2016",Hillary Clinton,41%,Donald Trump,37%,4,1611,± 2.8%
Ipsos/Reuters[374],"May 6–10, 2016",Hillary Clinton,41%,Donald Trump,40%,1,1289,± 3.0%
Public Policy Polling[375],"May 6–9, 2016",Hillary Clinton,47%,Donald Trump,41%,6,1222,± 3.2%
Public Policy Polling[375],"May 6–9, 2016",Bernie Sanders,50%,Donald Trump,39%,11,1222,± 3.2%
Ipsos/Reuters[376],"April 30 – May 4, 2016",Hillary Clinton,45%,Donald Trump,36%,9,1277,± 3.1%
Morning Consult[377],"April 29 – May 2, 2016",Hillary Clinton,45%,Donald Trump,40%,5,1976,± 2.0%
CNN/ORC[378],"April 28 – May 1, 2016",Hillary Clinton,54%,Donald Trump,41%,13,1001,± 3.5%
Rasmussen Reports[379],"April 27–28, 2016",Hillary Clinton,39%,Donald Trump,41%,2,1000,± 3.0%
Rasmussen Reports[380],"April 25–26, 2016",Hillary Clinton,38%,Donald Trump,38%,Tied,1000,± 3.0%
GWU/Battleground[381],"April 17–20, 2016",Hillary Clinton,46%,Donald Trump,43%,3,1000,± 3.1%
GWU/Battleground[381],"April 17–20, 2016",Bernie Sanders,51%,Donald Trump,40%,11,1000,± 3.1%
NBC News/Wall Street Journal[382],"April 10–14, 2016",Hillary Clinton,50%,Donald Trump,39%,11,1000,± 3.1%
NBC News/Wall Street Journal[382],"April 10–14, 2016",Hillary Clinton,46%,Ted Cruz,44%,2,1000,± 3.1%
NBC News/Wall Street Journal[382],"April 10–14, 2016",Hillary Clinton,39%,John Kasich,51%,12,1000,± 3.1%
NBC News/Wall Street Journal[382],"April 10–14, 2016",Bernie Sanders,52%,Ted Cruz,40%,12,1000,± 3.1%
Fox News[383],"April 11–13, 2016",Hillary Clinton,48%,Donald Trump,41%,7,1021,± 3%
Fox News[383],"April 11–13, 2016",Hillary Clinton,45%,Ted Cruz,44%,1,1021,± 3%
Fox News[383],"April 11–13, 2016",Hillary Clinton,40%,John Kasich,49%,9,1021,± 3%
Fox News[383],"April 11–13, 2016",Bernie Sanders,53%,Donald Trump,39%,14,1021,± 3%
Fox News[383],"April 11–13, 2016",Bernie Sanders,51%,Ted Cruz,39%,12,1021,± 3%
Fox News[383],"April 11–13, 2016",Bernie Sanders,47%,John Kasich,43%,4,1021,± 3%
CBS News[384],"April 8–12, 2016",Hillary Clinton,50%,Donald Trump,40%,10,1098,± 3.0%
CBS News[384],"April 8–12, 2016",Hillary Clinton,45%,Ted Cruz,42%,3,1098,± 3.0%
CBS News[384],"April 8–12, 2016",Hillary Clinton,41%,John Kasich,47%,6,1098,± 3.0%
CBS News[384],"April 8–12, 2016",Bernie Sanders,53%,Donald Trump,36%,17,1098,± 3.0%
CBS News[384],"April 8–12, 2016",Bernie Sanders,50%,Ted Cruz,38%,12,1098,± 3.0%
CBS News[384],"April 8–12, 2016",Bernie Sanders,46%,John Kasich,41%,5,1098,± 3.0%
IBD/TIPP[385],"March 28 – April 2, 2016",Hillary Clinton,47%,Donald Trump,35%,12,902,± 3.3%
IBD/TIPP[385],"March 28 – April 2, 2016",Hillary Clinton,44%,Ted Cruz,39%,5,902,± 3.3%
IBD/TIPP[385],"March 28 – April 2, 2016",Hillary Clinton,38%,John Kasich,45%,7,902,± 3.3%
IBD/TIPP[385],"March 28 – April 2, 2016",Bernie Sanders,53%,Donald Trump,36%,17,902,± 3.3%
IBD/TIPP[385],"March 28 – April 2, 2016",Bernie Sanders,50%,Ted Cruz,38%,12,902,± 3.3%
IBD/TIPP[385],"March 28 – April 2, 2016",Bernie Sanders,45%,John Kasich,42%,3,902,± 3.3%
McClatchy-Marist[386],"March 29–31, 2016",Hillary Clinton,50%,Donald Trump,41%,9,1297,± 2.7%
McClatchy-Marist[386],"March 29–31, 2016",Hillary Clinton,47%,Ted Cruz,47%,Tied,1297,± 2.7%
McClatchy-Marist[386],"March 29–31, 2016",Hillary Clinton,42%,John Kasich,51%,9,1297,± 2.7%
McClatchy-Marist[386],"March 29–31, 2016",Bernie Sanders,57%,Donald Trump,37%,20,1297,± 2.7%
McClatchy-Marist[386],"March 29–31, 2016",Bernie Sanders,53%,Ted Cruz,41%,12,1297,± 2.7%
McClatchy-Marist[386],"March 29–31, 2016",Bernie Sanders,52%,John Kasich,41%,11,1297,± 2.7%
Public Policy Polling[387],"March 24–26, 2016",Hillary Clinton,48%,Donald Trump,41%,7,1083,± 3.0%
Public Policy Polling[387],"March 24–26, 2016",Hillary Clinton,45%,Ted Cruz,42%,3,1083,± 3.0%
Public Policy Polling[387],"March 24–26, 2016",Hillary Clinton,41%,John Kasich,45%,4,1083,± 3.0%
Public Policy Polling[387],"March 24–26, 2016",Hillary Clinton,44%,Paul Ryan,39%,5,1083,± 3.0%
Public Policy Polling[387],"March 24–26, 2016",Hillary Clinton,45%,Mitt Romney,32%,13,1083,± 3.0%
Public Policy Polling[387],"March 24–26, 2016",Bernie Sanders,48%,Donald Trump,40%,8,1083,± 3.0%
Public Policy Polling[387],"March 24–26, 2016",Bernie Sanders,48%,Ted Cruz,41%,7,1083,± 3.0%
Public Policy Polling[387],"March 24–26, 2016",Bernie Sanders,41%,John Kasich,44%,3,1083,± 3.0%
Public Policy Polling[387],"March 24–26, 2016",Bernie Sanders,45%,Paul Ryan,38%,7,1083,± 3.0%
Public Policy Polling[387],"March 24–26, 2016",Bernie Sanders,48%,Mitt Romney,31%,17,1083,± 3.0%
Bloomberg Politics[388],"March 19–22, 2016",Hillary Clinton,54%,Donald Trump,36%,18,815,± 5.1%
Bloomberg Politics[388],"March 19–22, 2016",Hillary Clinton,51%,Ted Cruz,42%,9,815,± 5.1%
Bloomberg Politics[388],"March 19–22, 2016",Hillary Clinton,43%,John Kasich,47%,4,815,± 5.1%
Quinnipiac University[389],"March 16–21, 2016",Hillary Clinton,46%,Donald Trump,40%,6,1451,± 2.6%
Quinnipiac University[389],"March 16–21, 2016",Hillary Clinton,45%,Ted Cruz,42%,3,1451,± 2.6%
Quinnipiac University[389],"March 16–21, 2016",Hillary Clinton,39%,John Kasich,47%,8,1451,± 2.6%
Quinnipiac University[389],"March 16–21, 2016",Bernie Sanders,52%,Donald Trump,38%,14,1451,± 2.6%
Quinnipiac University[389],"March 16–21, 2016",Bernie Sanders,50%,Ted Cruz,39%,11,1451,± 2.6%
Quinnipiac University[389],"March 16–21, 2016",Bernie Sanders,44%,John Kasich,45%,1,1451,± 2.6%
CBS News/New York Times[390],"March 17–20, 2016",Hillary Clinton,50%,Donald Trump,40%,10,1058,± 3.0%
CBS News/New York Times[390],"March 17–20, 2016",Hillary Clinton,47%,Ted Cruz,44%,3,1058,± 3.0%
CBS News/New York Times[390],"March 17–20, 2016",Hillary Clinton,43%,John Kasich,47%,4,1058,± 3.0%
CBS News/New York Times[390],"March 17–20, 2016",Bernie Sanders,53%,Donald Trump,38%,15,1058,± 3.0%
CNN/ORC[391],"March 17–20, 2016",Hillary Clinton,53%,Donald Trump,41%,12,925,± 3.0%
CNN/ORC[391],"March 17–20, 2016",Hillary Clinton,48%,Ted Cruz,48%,Tied,925,± 3.0%
CNN/ORC[391],"March 17–20, 2016",Hillary Clinton,45%,John Kasich,51%,6,925,± 3.0%
CNN/ORC[391],"March 17–20, 2016",Bernie Sanders,58%,Donald Trump,38%,20,925,± 3.0%
CNN/ORC[391],"March 17–20, 2016",Bernie Sanders,55%,Ted Cruz,42%,13,925,± 3.0%
CNN/ORC[391],"March 17–20, 2016",Bernie Sanders,51%,John Kasich,45%,6,925,± 3.0%
Monmouth University[392],"March 17–20, 2016",Hillary Clinton,48%,Donald Trump,38%,10,848,± 3.4%
Monmouth University[392],"March 17–20, 2016",Hillary Clinton,45%,Ted Cruz,40%,5,848,± 3.4%
Monmouth University[392],"March 17–20, 2016",Hillary Clinton,39%,John Kasich,45%,6,848,± 3.4%
NBC News/Wall Street Journal[393],"March 3–6, 2016",Hillary Clinton,51%,Donald Trump,38%,13,1200,± 2.83%
NBC News/Wall Street Journal[393],"March 3–6, 2016",Hillary Clinton,47%,Ted Cruz,45%,2,1200,± 2.83%
NBC News/Wall Street Journal[393],"March 3–6, 2016",Hillary Clinton,46%,Marco Rubio,46%,Tied,1200,± 2.83%
NBC News/Wall Street Journal[393],"March 3–6, 2016",Bernie Sanders,55%,Donald Trump,37%,18,1200,± 2.83%
ABC News/Washington Post[394],"March 3–6, 2016",Hillary Clinton,50%,Donald Trump,41%,9,864,± 4%
Rasmussen Reports[395],"February 29 – March 1, 2016",Hillary Clinton,41%,Donald Trump,36%,5,1000,± 3%
CNN/ORC[396],"February 24–27, 2016",Hillary Clinton,52%,Donald Trump,44%,8,920,± 3%
CNN/ORC[396],"February 24–27, 2016",Hillary Clinton,48%,Ted Cruz,49%,1,920,± 3%
CNN/ORC[396],"February 24–27, 2016",Hillary Clinton,47%,Marco Rubio,50%,3,920,± 3%
CNN/ORC[396],"February 24–27, 2016",Bernie Sanders,55%,Donald Trump,43%,12,920,± 3%
CNN/ORC[396],"February 24–27, 2016",Bernie Sanders,57%,Ted Cruz,40%,17,920,± 3%
CNN/ORC[396],"February 24–27, 2016",Bernie Sanders,53%,Marco Rubio,45%,8,920,± 3%
Fox News[397],"February 15–17, 2016",Hillary Clinton,47%,Donald Trump,42%,5,1031,± 3%
Fox News[397],"February 15–17, 2016",Hillary Clinton,45%,Ted Cruz,46%,1,1031,± 3%
Fox News[397],"February 15–17, 2016",Hillary Clinton,44%,Marco Rubio,48%,4,1031,± 3%
Fox News[397],"February 15–17, 2016",Hillary Clinton,44%,John Kasich,47%,3,1031,± 3%
Fox News[397],"February 15–17, 2016",Hillary Clinton,45%,Jeb Bush,46%,1,1031,± 3%
Fox News[397],"February 15–17, 2016",Bernie Sanders,53%,Donald Trump,38%,15,1031,± 3%
Suffolk University/USA Today[398],"February 11–15, 2016",Hillary Clinton,43%,Donald Trump,45%,2,1000,± 3%
Suffolk University/USA Today[398],"February 11–15, 2016",Hillary Clinton,42%,Marco Rubio,48%,6,1000,± 3%
Suffolk University/USA Today[398],"February 11–15, 2016",Hillary Clinton,44%,Ted Cruz,45%,1,1000,± 3%
Suffolk University/USA Today[398],"February 11–15, 2016",Hillary Clinton,38%,John Kasich,49%,11,1000,± 3%
Suffolk University/USA Today[398],"February 11–15, 2016",Bernie Sanders,42%,Marco Rubio,46%,4,1000,± 3%
Suffolk University/USA Today[398],"February 11–15, 2016",Bernie Sanders,44%,Ted Cruz,42%,2,1000,± 3%
Suffolk University/USA Today[398],"February 11–15, 2016",Bernie Sanders,41%,John Kasich,44%,3,1000,± 3%
Suffolk University/USA Today[398],"February 11–15, 2016",Bernie Sanders,43%,Donald Trump,44%,1,1000,± 3%
Quinnipiac University[399],"February 10–15, 2016",Hillary Clinton,44%,Donald Trump,43%,1,1342,± 2.7%
Quinnipiac University[399],"February 10–15, 2016",Hillary Clinton,43%,Ted Cruz,46%,3,1342,± 2.7%
Quinnipiac University[399],"February 10–15, 2016",Hillary Clinton,41%,Marco Rubio,48%,7,1342,± 2.7%
Quinnipiac University[399],"February 10–15, 2016",Hillary Clinton,43%,Jeb Bush,44%,1,1342,± 2.7%
Quinnipiac University[399],"February 10–15, 2016",Hillary Clinton,39%,John Kasich,47%,8,1342,± 2.7%
Quinnipiac University[399],"February 10–15, 2016",Bernie Sanders,48%,Donald Trump,42%,6,1342,± 2.7%
Quinnipiac University[399],"February 10–15, 2016",Bernie Sanders,49%,Ted Cruz,39%,10,1342,± 2.7%
Quinnipiac University[399],"February 10–15, 2016",Bernie Sanders,47%,Marco Rubio,41%,6,1342,± 2.7%
Quinnipiac University[399],"February 10–15, 2016",Bernie Sanders,49%,Jeb Bush,39%,10,1342,± 2.7%
Quinnipiac University[399],"February 10–15, 2016",Bernie Sanders,45%,John Kasich,41%,4,1342,± 2.7%
Quinnipiac University[400],"February 2–4, 2016",Hillary Clinton,46%,Donald Trump,41%,5,1125,± 2.9%
Quinnipiac University[400],"February 2–4, 2016",Hillary Clinton,41%,Marco Rubio,48%,7,1125,± 2.9%
Quinnipiac University[400],"February 2–4, 2016",Hillary Clinton,45%,Ted Cruz,45%,Tied,1125,± 2.9%
Quinnipiac University[400],"February 2–4, 2016",Bernie Sanders,49%,Donald Trump,39%,10,1125,± 2.9%
Quinnipiac University[400],"February 2–4, 2016",Bernie Sanders,46%,Ted Cruz,42%,4,1125,± 2.9%
Quinnipiac University[400],"February 2–4, 2016",Bernie Sanders,43%,Marco Rubio,43%,Tied,1125,± 2.9%
Public Policy Polling[401],"February 2–3, 2016",Hillary Clinton,46%,Jeb Bush,39%,7,1236,
Public Policy Polling[401],"February 2–3, 2016",Hillary Clinton,47%,Ben Carson,44%,3,1236,
Public Policy Polling[401],"February 2–3, 2016",Hillary Clinton,46%,Ted Cruz,44%,2,1236,
Public Policy Polling[401],"February 2–3, 2016",Hillary Clinton,44%,Marco Rubio,46%,2,1236,
Public Policy Polling[401],"February 2–3, 2016",Hillary Clinton,47%,Donald Trump,40%,7,1236,
Public Policy Polling[401],"February 2–3, 2016",Bernie Sanders,46%,Jeb Bush,40%,6,1236,
Public Policy Polling[401],"February 2–3, 2016",Bernie Sanders,44%,Ben Carson,44%,Tied,1236,
Public Policy Polling[401],"February 2–3, 2016",Bernie Sanders,44%,Ted Cruz,42%,2,1236,
Public Policy Polling[401],"February 2–3, 2016",Bernie Sanders,43%,Marco Rubio,45%,2,1236,
Public Policy Polling[401],"February 2–3, 2016",Bernie Sanders,46%,Donald Trump,42%,4,1236,
CNN/ORC[402],"January 21–24, 2016",Hillary Clinton,48%,Donald Trump,47%,1,1002,± 3.0%
CNN/ORC[402],"January 21–24, 2016",Hillary Clinton,47%,Marco Rubio,50%,3,1002,± 3.0%
CNN/ORC[402],"January 21–24, 2016",Hillary Clinton,47%,Ted Cruz,50%,3,1002,± 3.0%
CNN/ORC[402],"January 21–24, 2016",Bernie Sanders,50%,Donald Trump,47%,3,1002,± 3.0%
CNN/ORC[402],"January 21–24, 2016",Bernie Sanders,49%,Marco Rubio,48%,1,1002,± 3.0%
CNN/ORC[402],"January 21–24, 2016",Bernie Sanders,50%,Ted Cruz,47%,3,1002,± 3.0%
Morning Consult[403],"January 14–17, 2016",Hillary Clinton,43%,Jeb Bush,39%,4,4060,± 2.0%
Morning Consult[403],"January 14–17, 2016",Hillary Clinton,43%,Chris Christie,39%,4,4060,± 2.0%
Morning Consult[403],"January 14–17, 2016",Hillary Clinton,42%,Ben Carson,42%,Tied,4060,± 2.0%
Morning Consult[403],"January 14–17, 2016",Hillary Clinton,43%,Marco Rubio,41%,2,4060,± 2.0%
Morning Consult[403],"January 14–17, 2016",Hillary Clinton,44%,Donald Trump,42%,2,4060,± 2.0%
Morning Consult[403],"January 14–17, 2016",Hillary Clinton,43%,Ted Cruz,41%,2,4060,± 2.0%
NBC News/Wall Street Journal[404],"January 9–13, 2016",Hillary Clinton,51%,Donald Trump,41%,10,800,± 3.5%
