Poll source,Date,Hillary Clinton Democratic,Donald Trump Republican,Gary Johnson Libertarian,Jill Stein Green,Leading by (points),Sample size,Margin of error
IBD/TIPP[86],"October 19–24, 2016",42%,41%,8%,3%,1,873.0,± 3.6%
ABC News[87],"October 20–23, 2016",50%,38%,5%,2%,12,1155.0,±3.0%
CNN/ORC[88],"October 20–23, 2016",49%,44%,3%,2%,5,779.0,±3.5%
Rasmussen Reports[581],"October 19–23, 2016",41%,43%,5%,3%,2,1500.0,±2.5%
IBD/TIPP[89],"October 18–23, 2016",41%,41%,7%,3%,Tied,815.0,± 3.6%
Centre College[582],"October 18–23, 2016",45%,40%,6%,1%,5,569.0,±4.1%
NBC News/SurveyMonkey[90],"October 17–23, 2016",46%,41%,7%,3%,5,32225.0,± 1.0%
ABC News[92],"October 20–22, 2016",50%,38%,5%,2%,12,1391.0,±3.5%
IBD/TIPP[93],"October 17–22, 2016",41%,43%,7%,3%,2,783.0,± 3.6%
IBD/TIPP[94],"October 16–21, 2016",40%,42%,7%,4%,2,791.0,±3.6%
Politico/Morning Consult[95],"October 19–20, 2016",42%,36%,9%,4%,6,1395.0,±3.0%
Rasmussen Reports[583],"October 18–20, 2016",41%,43%,5%,3%,2,1500.0,±2.5%
Ipsos/Reuters[99],"October 14–20, 2016",43%,39%,6%,2%,4,1640.0,±3.0%
Rasmussen Reports[584],"October 17–19, 2016",40%,43%,6%,3%,3,1500.0,±2.5%
IBD/TIPP[100],"October 14–19, 2016",40%,41%,7%,5%,1,779.0,±3.6%
Quinnipiac University[101],"October 17–18, 2016",47%,40%,7%,1%,7,1007.0,±3.1%
YouGov/Economist[102],"October 15–18, 2016",42%,38%,6%,1%,4,1300.0,±3.9%
IBD/TIPP[103],"October 13–18, 2016",40%,41%,8%,6%,1,782.0,±3.6%
Fox News[104],"October 15–17, 2016",45%,39%,5%,3%,6,912.0,±3.0%
Bloomberg Politics[105],"October 14–17, 2016",47%,38%,8%,3%,9,1006.0,±3.1%
Rasmussen Reports[585],"October 13–17, 2016",42%,41%,7%,2%,1,1500.0,±2.5%
Ipsos/Reuters[106],"October 13–17, 2016",42%,38%,6%,2%,4,1190.0,±3.2%
Monmouth University[109],"October 14–16, 2016",50%,38%,5%,2%,12,805.0,±3.5%
CBS News[110],"October 12–16, 2016",47%,38%,8%,3%,9,1411.0,±3.0%
Rasmussen Reports[586],"October 12–16, 2016",43%,41%,5%,2%,2,1500.0,±2.5%
NBC News/SurveyMonkey[111],"October 10–16, 2016",46%,40%,8%,4%,6,24804.0,± 1.0%
Politico/Morning Consult[113],"October 13–15, 2016",42%,36%,10%,3%,6,1737.0,±2.0%
SurveyUSA/Boston Globe[587],"October 11–14, 2016",46%,36%,5%,2%,10,845.0,±3.4%
Rasmussen Reports[588],"October 11–13, 2016",41%,43%,6%,2%,2,1500.0,±2.5%
NBC News/Wall Street Journal[114],"October 10–13, 2016",48%,37%,7%,2%,11,1000.0,±3.1%
ABC News/Washington Post[115],"October 10–13, 2016",47%,43%,5%,2%,4,740.0,±4.0%
Franklin Pierce University/Boston Herald[116],"October 9–13, 2016",46%,41%,6%,2%,5,1011.0,±3.1%
George Washington University[117],"October 8–13, 2016",47%,39%,8%,2%,8,1000.0,±3.1%
Fox News[119],"October 10–12, 2016",45%,38%,7%,3%,7,917.0,±3.0%
Rasmussen Reports[589],"October 10–12, 2016",41%,43%,6%,2%,2,1500.0,±2.5%
Insights West[590],"October 10–11, 2016",47%,41%,7%,3%,6,953.0,±3.2%
Rasmussen Reports[591],"October 9–11, 2016",43%,39%,7%,2%,4,1500.0,±2.5%
Politico/Morning Consult[120],"October 10, 2016",42%,37%,10%,3%,5,1757.0,±3.0%
NBC News/Wall Street Journal[121],"October 8–10, 2016",45%,36%,8%,2%,9,806.0,±3.5%
Rasmussen Reports[592],"October 6–10, 2016",44%,39%,7%,2%,5,1500.0,±2.5%
Ipsos/Reuters[122],"October 6–10, 2016",44%,37%,6%,2%,7,2363.0,±2.3%
Pew Research[124],"September 27 – October 10, 2016",46%,39%,10%,4%,7,3616.0,± 2.9%
NBC News/Wall Street Journal[125],"October 8–9, 2016",46%,35%,9%,2%,11,422.0,±4.6%
Rasmussen Reports[593],"October 5–9, 2016",45%,38%,7%,2%,7,1500.0,±2.5%
Public Religion Research Institute/The Atlantic[594],"October 5–9, 2016",49%,38%,2%,0%,11,886.0,±3.9%
NBC News/SurveyMonkey[126],"October 3–9, 2016",46%,41%,8%,3%,5,23329.0,±1.0%
Politico/Morning Consult[128],"October 8, 2016",42%,38%,8%,3%,4,1390.0,±3.0%
YouGov/Economist[129],"October 7–8, 2016",44%,38%,5%,1%,6,1300.0,±4.3%
Morning Consult[130],"October 5–6, 2016",41%,39%,9%,3%,2,1775.0,±2.0%
Quinnipiac University[131],"October 5–6, 2016",45%,40%,6%,2%,5,1064.0,±3.0%
Rasmussen Reports[595],"October 4–6, 2016",43%,42%,7%,2%,1,1500.0,±2.5%
Fox News[132],"October 3–6, 2016",44%,42%,6%,2%,2,896.0,±3.0%
Ipsos/Reuters[133],"September 30 – October 6, 2016",42%,37%,8%,2%,5,1695.0,±3.0%
Rasmussen Reports[596],"October 3–5, 2016",41%,43%,8%,3%,2,1500.0,±2.5%
Breitbart/Gravis Marketing[597],"October 3, 2016",44%,44%,5%,1%,Tied,1690.0,±2.5%
YouGov/Economist[137],"October 1–3, 2016",43%,40%,5%,3%,3,911.0,±3.9%
Ipsos/Reuters[138],"September 29 – October 3, 2016",42%,36%,8%,2%,6,1239.0,±3.2%
Rasmussen Reports[598],"September 29 – October 3, 2016",42%,41%,9%,2%,1,1500.0,±2.5%
Politico/Morning Consult[139],"September 30 – October 2, 2016",42%,36%,9%,3%,6,1778.0,±2.0%
Fairleigh Dickinson University[140],"September 28 – October 2, 2016",45%,36%,11%,3%,9,385.0,±5.0%
CBS News/New York Times[141],"September 28 – October 2, 2016",45%,41%,8%,3%,4,1217.0,±3.0%
CNN/ORC[142],"September 28 – October 2, 2016",47%,42%,7%,2%,5,,±N/A%
Rasmussen Reports[599],"September 28 – October 2, 2016",43%,40%,8%,2%,3,1500.0,±2.5%
NBC News/SurveyMonkey[143],"September 26 – October 2, 2016",46%,40%,9%,3%,6,26925.0,±1.0%
Fox News[146],"September 27–29, 2016",43%,40%,8%,4%,3,911.0,±3.0%
Ipsos/Reuters[147],"September 23–29, 2016",42%,38%,7%,3%,4,2501.0,±2.0%
Rasmussen Reports[600],"September 26–28, 2016",42%,41%,7%,2%,1,1500.0,±2.5%
Morning Consult[152],"September 26–27, 2016",41%,38%,8%,4%,3,1253.0,±3.0%
Public Religion Research Institute[601],"September 1–27, 2016",49%,41%,4%,1%,8,2010.0,±2.8%
Ipsos/Reuters[154],"September 22–26, 2016",42%,38%,7%,2%,4,1041.0,±3.5%
Quinnipiac University[155],"September 22–25, 2016",44%,43%,8%,2%,1,1115.0,±2.9%
Monmouth University[156],"September 22–25, 2016",46%,42%,8%,2%,4,729.0,±3.6%
NBC News/SurveyMonkey[157],"September 19–25, 2016",45%,40%,10%,3%,5,13598.0,±1.1%
Morning Consult[160],"September 22–24, 2016",38%,39%,9%,4%,1,1712.0,±2.0%
YouGov/Economist[602],"September 22–24, 2016",44%,41%,5%,2%,3,948.0,±3.8%
Bloomberg/Selzer[161],"September 21–24, 2016",41%,43%,8%,4%,2,1002.0,±3.1%
ABC News/Washington Post[162],"September 19–22, 2016",46%,44%,5%,1%,2,651.0,±4.5%
Franklin Pierce University/Boston Herald[603],"September 18–22, 2016",45%,43%,6%,2%,2,1017.0,±3.1%
Ipsos/Reuters[163],"September 16–22, 2016",39%,37%,7%,2%,2,1559.0,±3.0%
Rasmussen Reports[604],"September 20–21, 2016",39%,44%,8%,2%,5,1000.0,±3.0%
Breitbart/Gravis Marketing[citation needed],"September 20, 2016",44%,40%,5%,2%,4,1560.0,±2.5%
McClatchy/Marist[166],"September 15–20, 2016",45%,39%,10%,4%,6,758.0,±3.6%
YouGov/Economist[168],"September 18–19, 2016",40%,38%,7%,2%,2,936.0,±4.0%
NBC News/Wall Street Journal[169],"September 16–19, 2016",43%,37%,9%,3%,6,922.0,±3.2%
iCitizen[605],"September 15–19, 2016",42%,37%,5%,3%,5,1000.0,±3.0%
Ipsos/Reuters[170],"September 15–19, 2016",37%,39%,7%,2%,2,1111.0,±3.4%
Associated Press/GFK[171],"September 15–19, 2016",45%,39%,9%,2%,6,1251.0,±2.5%
NBC News/SurveyMonkey[174],"September 12–18, 2016",45%,40%,10%,4%,5,13230.0,±1.2%
Morning Consult[606],"September 15–16, 2016",42%,40%,8%,3%,2,1639.0,±2.0%
Saint Leo University[607],"September 12–16, 2016",46%,41%,9%,4%,5,1005.0,±3.0%
Fox News[179],"September 11–14, 2016",41%,40%,8%,3%,1,867.0,±3.0%
Rasmussen Reports[608],"September 12–13, 2016",40%,42%,7%,2%,2,1000.0,±3.0%
Emerson College[609],"September 11–13, 2016",41%,43%,9%,2%,2,800.0,±3.4%
YouGov/Economist[182],"September 10–13, 2016",42%,40%,5%,3%,2,1087.0,±4.0%
CBS News/New York Times[183],"September 9–13, 2016",42%,42%,8%,4%,Tied,1433.0,±3.0%
Quinnipiac University[184],"September 8–13, 2016",41%,39%,13%,4%,2,960.0,±3.2%
Ipsos/Reuters[187],"September 8–12, 2016",39%,39%,8%,2%,Tied,1127.0,±3.3%
Pew Research[189],"August 16 – September 12, 2016",45%,38%,10%,4%,2,3941.0,±2.6%
NBC News/SurveyMonkey[190],"September 5–11, 2016",42%,40%,11%,4%,2,16220.0,±1.1%
Gravis Marketing/Breitbart[citation needed],"September 7–8, 2016",43%,40%,7%,1%,3,2348.0,±2.0%
Morning Consult[192],"September 6–8, 2016",43%,41%,10%,3%,2,1710.0,±2.0%
ABC News/Washington Post[193],"September 5–8, 2016",46%,41%,9%,2%,5,642.0,±4.5%
Rasmussen Reports[610],"September 6–7, 2016",43%,39%,9%,2%,4,1000.0,±3.0%
YouGov/Economist[197],"September 4–6, 2016",40%,38%,7%,5%,2,1077.0,±4.7%
Ipsos/Reuters[199],"September 1–5, 2016",40%,38%,8%,3%,2,1084.0,±3.5%
CNN/ORC[201],"September 1–4, 2016",43%,45%,7%,2%,2,786.0,±3.5%
Franklin Pierce University/Boston Herald[611],"August 31 – September 4, 2016",44%,41%,8%,3%,3,1025.0,±3.1%
NBC News/SurveyMonkey[202],"August 29 – September 4, 2016",41%,37%,12%,4%,4,32226.0,±1.0%
Morning Consult[205],"September 1–2, 2016",38%,36%,9%,4%,2,2001.0,±2.0%
George Washington University[612],"August 28 – September 1, 2016",42%,40%,11%,3%,2,1000.0,±3.1%
Ipsos/Reuters[206],"August 26 – September 1, 2016",39%,39%,7%,2%,Tied,1804.0,±3.0%
IBD/TPP[207],"August 26 – September 1, 2016",39%,39%,12%,3%,Tied,861.0,±3.4%
Rasmussen Reports[613],"August 29–30, 2016",39%,40%,7%,3%,1,1000.0,±3.0%
Fox News[208],"August 28–30, 2016",41%,39%,9%,4%,2,1011.0,±3.0%
YouGov/Economist[614],"August 27–29, 2016",42%,37%,7%,3%,5,1119.0,±4.0%
Ipsos/Reuters[210],"August 25–29, 2016",40%,38%,6%,2%,2,1404.0,±3.0%
Suffolk University/USA Today[211],"August 25–29, 2016",42%,35%,9%,4%,7,1000.0,±3.0%
Monmouth University[215],"August 25–28, 2016",43%,36%,8%,2%,7,689.0,±3.5%
NBC News/SurveyMonkey[216],"August 22–28, 2016",41%,37%,11%,5%,4,24104.0,±1.0%
Morning Consult[219],"August 24–26, 2016",39%,37%,8%,3%,2,2007.0,±2.0%
Ipsos/Reuters[220],"August 22–25, 2016",39%,36%,7%,3%,3,1154.0,±3.0%
Rasmussen Reports[615],"August 23–24, 2016",42%,38%,9%,2%,4,1000.0,±3.0%
Ipsos/Reuters[221],"August 20–24, 2016",39%,36%,7%,2%,3,1049.0,±2.9%
Quinnipiac University[223],"August 18–24, 2016",45%,38%,10%,4%,7,1498.0,±2.5%
Gravis Marketing[616],"August 22–23, 2016",42%,41%,4%,1%,1,1493.0,±2.5%
YouGov/Economist[225],"August 19–23, 2016",42%,38%,6%,4%,4,1080.0,±4.1%
Ipsos/Reuters[227],"August 18–22, 2016",41%,33%,7%,2%,8,1115.0,±3.0%
NBC News/SurveyMonkey[230],"August 15–21, 2016",43%,38%,11%,5%,5,17451.0,±1.1%
Morning Consult[232],"August 16–20, 2016",39%,36%,8%,4%,3,2001.0,±2.0%
Ipsos/Reuters[235],"August 13–17, 2016",39%,35%,7%,2%,4,1049.0,±2.8%
Rasmussen Reports[617],"August 15–16, 2016",41%,39%,9%,3%,2,1000.0,±3.0%
YouGov/Economist[618],"August 11–16, 2016",41%,35%,7%,3%,6,1076.0,±4.1%
Pew Research[619],"August 9–16, 2016",41%,37%,10%,4%,4,1567.0,±2.8%
"Normington, Petts & Associates[239]","August 9–15, 2016",45%,37%,8%,4%,8,1000.0,±3.1%
NBC News/SurveyMonkey[242],"August 8–14, 2016",43%,37%,11%,4%,6,15179.0,±1.2%
Zogby Analytics[620],"August 12–13, 2016",38%,36%,8%,5%,2,1277.0,±2.8%
Morning Consult[241],"August 11–14, 2016",39%,33%,9%,4%,6,2001.0,±2.0%
Ipsos/Reuters[246],"August 6–10, 2016",40%,35%,7%,3%,5,974.0,±2.9%
Rasmussen Reports[621],"August 9–10, 2016",43%,40%,8%,2%,3,1000.0,±3.0%
Breitbart/Gravis Marketing[citation needed],"August 9, 2016",42%,37%,9%,3%,5,2832.0,±1.8%
YouGov/Economist[247],"August 6–9, 2016",42%,36%,9%,2%,6,1300.0,±4.2%
Bloomberg Politics[249],"August 5–8, 2016",44%,40%,9%,4%,4,749.0,±3.6%
Princeton Survey[252],"August 4–7, 2016",45%,39%,2%,1%,6,1000.0,±3.9%
Monmouth University[622],"August 4–7, 2016",46%,34%,7%,2%,12,803.0,±3.5%
NBC News/SurveyMonkey[254],"August 1–7, 2016",44%,38%,10%,4%,6,11480.0,±1.2%
Morning Consult[257],"August 4–5, 2016",41%,33%,9%,5%,8,2001.0,±2.0%
ABC News/Washington Post[258],"August 1–4, 2016",45%,37%,8%,4%,8,1002.0,±3.5%
Ipsos/Reuters[259],"July 31 – August 4, 2016",42%,40%,6%,3%,2,1154.0,±3.0%
IBD/TPP[261],"July 29 – August 4, 2016",39%,35%,12%,5%,4,851.0,±3.4%
McClatchy/Marist[262],"August 1–3, 2016",45%,31%,10%,6%,14,983.0,±3.1%
NBC News/Wall Street Journal[263],"July 31 – August 3, 2016",43%,34%,10%,5%,9,800.0,±3.5%
Ipsos/Reuters[264],"July 30 – August 3, 2016",42%,38%,6%,2%,4,1072.0,±3.5%
Rasmussen Reports[623],"August 1–2, 2016",44%,40%,6%,3%,4,1000.0,±3.0%
The Economist/YouGov[269],"July 31 – August 1, 2016",41%,36%,8%,4%,5,1300.0,±4.0%
CNN/ORC[272],"July 29–31, 2016",45%,37%,9%,5%,8,894.0,±3.5%
NBC News/SurveyMonkey[274],"July 25–31, 2016",43%,38%,9%,4%,5,12742.0,±1.2%
Public Policy Polling[276],"July 29–30, 2016",46%,41%,6%,2%,5,1276.0,±2.7%
RABA Research[624],"July 29, 2016",46%,31%,7%,2%,15,956.0,±3.2%
Ipsos/Reuters[277],"July 25–29, 2016",37%,37%,5%,1%,Tied,1788.0,±2.4%
YouGov/Economist[281],"July 23–24, 2016",40%,38%,5%,3%,2,1300.0,±4.5%
CNN/ORC[284],"July 22–24, 2016",39%,44%,9%,3%,5,882.0,±3.5%
University of Delaware[625],"July 21–24, 2016",46%,42%,1%,1%,4,818.0,±4.0%
NBC News/SurveyMonkey[286],"July 18–24, 2016",39%,41%,10%,5%,2,12931.0,±1.2%
RABA Research[626],"July 22, 2016",39%,34%,8%,3%,5,909.0,±3.3%
Echelon Insights[627],"July 21–22, 2016",40%,39%,3%,2%,1,912.0,±N/A%
Ipsos/Reuters[291],"July 16–20, 2016",39%,35%,7%,3%,4,1522.0,±2.9%
YouGov/Economist[628],"July 15–17, 2016",40%,37%,5%,4%,3,1300.0,±4.2%
NBC News/SurveyMonkey[295],"July 11–17, 2016",39%,40%,10%,5%,1,9436.0,±1.4%
Monmouth University[629],"July 14–16, 2016",45%,43%,5%,1%,2,688.0,±3.7%
Franklin Pierce University/Boston Herald[630],"July 13–16, 2016",44%,41%,7%,2%,3,1007.0,±3.1%
CNN/ORC[297],"July 13–16, 2016",42%,37%,13%,5%,5,872.0,±3.5%
icitizen[298],"July 11–14, 2016",39%,35%,9%,3%,4,1000.0,±N/A%
ABC News/Washington Post[299],"July 11–14, 2016",42%,38%,8%,5%,4,1003.0,±3.5%
NBC News/Wall Street Journal[302],"July 9–13, 2016",41%,35%,11%,6%,6,1000.0,±3.1%
The Economist/YouGov[304],"July 9–11, 2016",40%,37%,5%,2%,3,1300.0,±4.2%
AP-GfK[631],"July 7–11, 2016",40%,36%,6%,2%,4,837.0,±3.3%
NBC News/SurveyMonkey[305],"July 4–10, 2016",40%,38%,11%,6%,2,7869.0,±1.4%
Raba Research[632],"July 7–9, 2016",41%,29%,9%,2%,12,781.0,±3.5%
McClatchy/Marist[307],"July 5–9, 2016",40%,35%,10%,5%,5,1249.0,±3.0%
Ipsos/Reuters[308],"July 2–6, 2016",42%,33%,6%,4%,9,1345.0,±2.8%
The Economist/YouGov[311],"July 2–4, 2016",42%,37%,4%,3%,5,1300.0,±3.9%
NBC News/SurveyMonkey[313],"June 27 – July 3, 2016",41%,38%,9%,5%,3,10072.0,±1.3%
Suffolk University/USA Today[316],"June 26–29, 2016",39%,35%,8%,3%,4,1000.0,±3.0%
Ipsos/Reuters[317],"June 25–29, 2016",42%,31%,5%,4%,11,1247.0,±2.8%
IBD/TIPP[318],"June 24–29, 2016",37%,36%,9%,5%,1,837.0,±3.5%
Public Policy Polling[320],"June 27–28, 2016",45%,41%,5%,2%,4,947.0,±3.2%
Quinnipiac University[323],"June 21–27, 2016",39%,37%,8%,4%,2,1610.0,±2.4%
NBC News/SurveyMonkey[324],"June 20–26, 2016",42%,36%,9%,5%,6,5818.0,±1.8%
ABC News/Washington Post[327],"June 20–23, 2016",47%,37%,7%,3%,10,836.0,±4.0%
NBC News/Wall Street Journal[328],"June 19–23, 2016",39%,38%,10%,6%,1,1000.0,±3.1%
Ipsos/Reuters[329],"June 18–22, 2016",43%,34%,6%,5%,9,1339.0,±2.8%
CNN/ORC[334],"June 16–19, 2016",42%,38%,9%,7%,4,891.0,±3.5%
Monmouth University[335],"June 15–19, 2016",42%,36%,9%,4%,6,803.0,±3.5%
NBC News/SurveyMonkey[336],"June 13–19, 2016",42%,38%,9%,5%,4,16135.0,±1.1%
Ipsos/Reuters[633],"June 11–15, 2016",39%,29%,6%,4%,10,1323.0,±2.8%
NBC/Survey Monkey[343],"June 6–12, 2016",42%,38%,9%,5%,4,10604.0,±1.3%
SurveyUSA[634],"June 8, 2016",39%,36%,6%,4%,3,1408.0,±2.7%
Zogby[635],"May 30 – June 5, 2016",40%,34%,6%,2%,6,837.0,±3.5%
NBC News[636],"May 30 – June 5, 2016",39%,40%,9%,4%,1,9240.0,±1.4%
Quinnipiac University[637],"May 24–30, 2016",40%,38%,5%,3%,2,1561.0,±2.5%
